ID,Fato Histórico,Verdadeiro?,Curiosidade
2855,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
2856,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
2857,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
2858,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
2859,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
2860,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
2861,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
2862,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
2863,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
2864,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
2865,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
2866,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
2867,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
2868,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
2869,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
2870,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
2871,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
2872,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
2873,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
2874,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
2875,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
2876,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
2877,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
2878,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
2879,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
2880,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
2881,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
2882,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
2883,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
2884,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
2885,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
2886,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
2887,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
2888,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
2889,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
2890,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
2891,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
2892,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
2893,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
2894,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
2895,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
2896,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
2897,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
2898,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
2899,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
2900,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
2901,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
2902,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
2903,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
2904,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
2905,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
2906,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
2907,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
2908,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
2909,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
2910,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
2911,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
2912,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
2913,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
2914,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
2915,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
2916,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
2917,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
2918,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
2919,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
2920,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
2921,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
2922,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
2923,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
2924,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
2925,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
2926,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
2927,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
2928,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
2929,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
2930,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
2931,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
2932,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
2933,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
2934,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
2935,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
2936,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
2937,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
2938,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
2939,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
2940,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
2941,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
2942,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
2943,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
2944,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
2945,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
2946,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
2947,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
2948,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
2949,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
2950,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
2951,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
2952,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
2953,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
2954,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
2955,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
2956,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
2957,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
2958,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
2959,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
2960,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
2961,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
2962,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
2963,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
2964,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
2965,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
2966,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
2967,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
2968,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
2969,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
2970,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
2971,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
2972,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
2973,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
2974,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
2975,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
2976,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
2977,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
2978,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
2979,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
2980,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
2981,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
2982,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
2983,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
2984,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
